repository,repo,release_id,name,tag_name,published_at
ollama/ollama,ollama/ollama,156776386,v0.1.39,v0.1.39,2024-05-22 02:46:48+00:00
ollama/ollama,ollama/ollama,155764609,v0.1.38,v0.1.38,2024-05-15 00:28:00+00:00
ollama/ollama,ollama/ollama,155375881,v0.1.37,v0.1.37,2024-05-12 01:59:41+00:00
ollama/ollama,ollama/ollama,155345144,v0.1.36,v0.1.36,2024-05-11 06:37:31+00:00
ollama/ollama,ollama/ollama,155045759,v0.1.35,v0.1.35,2024-05-10 15:15:29+00:00
ollama/ollama,ollama/ollama,154486514,v0.1.34,v0.1.34,2024-05-07 05:13:41+00:00
ollama/ollama,ollama/ollama,153066497,v0.1.33,v0.1.33,2024-04-28 17:51:17+00:00
ollama/ollama,ollama/ollama,150612671,v0.1.32,v0.1.32,2024-04-10 23:01:58+00:00
ollama/ollama,ollama/ollama,149878071,v0.1.31,v0.1.31,2024-04-05 16:09:53+00:00
ollama/ollama,ollama/ollama,148399532,v0.1.30,v0.1.30,2024-03-26 18:19:40+00:00
ollama/ollama,ollama/ollama,145649608,v0.1.29,v0.1.29,2024-03-10 02:24:04+00:00
ollama/ollama,ollama/ollama,144318153,v0.1.28,v0.1.28,2024-03-01 06:41:09+00:00
ollama/ollama,ollama/ollama,143272149,v0.1.27,v0.1.27,2024-02-22 22:55:46+00:00
ollama/ollama,ollama/ollama,142898859,v0.1.26,v0.1.26,2024-02-21 04:20:05+00:00
ollama/ollama,ollama/ollama,141928935,v0.1.25,v0.1.25,2024-02-14 07:21:20+00:00
ollama/ollama,ollama/ollama,140452510,v0.1.24,v0.1.24,2024-02-08 03:02:10+00:00
ollama/ollama,ollama/ollama,139618642,v0.1.23,v0.1.23,2024-02-02 06:34:56+00:00
ollama/ollama,ollama/ollama,138708044,v0.1.22,v0.1.22,2024-01-26 18:19:36+00:00
ollama/ollama,ollama/ollama,137801319,v0.1.21,v0.1.21,2024-01-20 01:20:10+00:00
ollama/ollama,ollama/ollama,136605841,v0.1.20,v0.1.20,2024-01-11 07:12:52+00:00
ollama/ollama,ollama/ollama,136251159,v0.1.19,v0.1.19,2024-01-08 22:45:52+00:00
ollama/ollama,ollama/ollama,134950093,v0.1.18,v0.1.18,2024-01-03 18:00:23+00:00
ollama/ollama,ollama/ollama,134402368,v0.1.17,v0.1.17,2023-12-19 03:37:09+00:00
ollama/ollama,ollama/ollama,133879039,v0.1.16,v0.1.16,2023-12-14 16:58:28+00:00
ollama/ollama,ollama/ollama,133517915,v0.1.15,v0.1.15,2023-12-12 06:44:37+00:00
ollama/ollama,ollama/ollama,133111252,v0.1.14,v0.1.14,2023-12-08 18:02:20+00:00
ollama/ollama,ollama/ollama,132016464,v0.1.13,v0.1.13,2023-11-30 04:24:49+00:00
ollama/ollama,ollama/ollama,131294257,v0.1.12,v0.1.12,2023-11-26 20:17:15+00:00
ollama/ollama,ollama/ollama,130205995,v0.1.11,v0.1.11,2023-11-20 23:07:00+00:00
ollama/ollama,ollama/ollama,129663335,v0.1.10,v0.1.10,2023-11-17 01:38:11+00:00
ollama/ollama,ollama/ollama,128829982,v0.1.9,v0.1.9,2023-11-10 05:03:10+00:00
ollama/ollama,ollama/ollama,127767805,v0.1.8,v0.1.8,2023-11-04 00:06:42+00:00
ollama/ollama,ollama/ollama,127031667,v0.1.7,v0.1.7,2023-10-28 04:06:05+00:00
ollama/ollama,ollama/ollama,127004875,v0.1.6,v0.1.6,2023-10-27 20:58:19+00:00
ollama/ollama,ollama/ollama,126365703,v0.1.5,v0.1.5,2023-10-24 18:09:45+00:00
ollama/ollama,ollama/ollama,125837077,v0.1.4,v0.1.4,2023-10-20 12:56:15+00:00
ollama/ollama,ollama/ollama,125063131,v0.1.3,v0.1.3,2023-10-13 23:59:55+00:00
ollama/ollama,ollama/ollama,124663265,v0.1.2,v0.1.2,2023-10-12 18:46:02+00:00
ollama/ollama,ollama/ollama,123267109,v0.1.1,v0.1.1,2023-10-02 21:47:27+00:00
ollama/ollama,ollama/ollama,122303509,v0.1.0,v0.1.0,2023-09-23 13:22:41+00:00
ollama/ollama,ollama/ollama,122302729,v0.0.21,v0.0.21,2023-09-23 04:01:21+00:00
ollama/ollama,ollama/ollama,122101537,v0.0.20,v0.0.20,2023-09-22 22:04:24+00:00
ollama/ollama,ollama/ollama,120351292,v0.0.19,v0.0.19,2023-09-11 20:39:30+00:00
ollama/ollama,ollama/ollama,119511791,v0.0.18,v0.0.18,2023-09-06 20:54:27+00:00
ollama/ollama,ollama/ollama,119101486,v0.0.17,v0.0.17,2023-08-30 18:21:30+00:00
ollama/ollama,ollama/ollama,118058970,v0.0.16,v0.0.16,2023-08-26 01:49:19+00:00
ollama/ollama,ollama/ollama,117642921,v0.0.15,v0.0.15,2023-08-18 00:52:01+00:00
ollama/ollama,ollama/ollama,115991991,v0.0.14,v0.0.14,2023-08-10 22:46:38+00:00
ollama/ollama,ollama/ollama,114720358,v0.0.13,v0.0.13,2023-08-02 16:07:52+00:00
ollama/ollama,ollama/ollama,113688357,v0.0.12,v0.0.12,2023-07-26 15:04:39+00:00
ollama/ollama,ollama/ollama,113162679,v0.0.11,v0.0.11,2023-07-21 20:59:54+00:00
ollama/ollama,ollama/ollama,112934354,v0.0.10,v0.0.10,2023-07-20 09:15:57+00:00
ollama/ollama,ollama/ollama,112926560,v0.0.9,v0.0.9,2023-07-20 08:13:58+00:00
ollama/ollama,ollama/ollama,112771409,v0.0.8,v0.0.8,2023-07-19 08:01:29+00:00
ollama/ollama,ollama/ollama,112752389,v0.0.7,v0.0.7,2023-07-19 03:32:59+00:00
ollama/ollama,ollama/ollama,112720516,v0.0.6,v0.0.6,2023-07-18 19:45:04+00:00
ollama/ollama,ollama/ollama,112153272,v0.0.5,v0.0.5,2023-07-13 17:45:10+00:00
ollama/ollama,ollama/ollama,112037818,v0.0.4,v0.0.4,2023-07-13 02:01:46+00:00
ollama/ollama,ollama/ollama,111875142,v0.0.3,v0.0.3,2023-07-11 23:53:25+00:00
ollama/ollama,ollama/ollama,111735512,v0.0.2,v0.0.2,2023-07-11 04:41:19+00:00
ollama/ollama,ollama/ollama,111504380,v0.0.1,v0.0.1,2023-07-08 17:25:48+00:00
langchain-ai/langchain,langchain-ai/langchain,213738974,langchain-core==0.3.55,langchain-core==0.3.55,2025-04-21 18:24:16+00:00
langchain-ai/langchain,langchain-ai/langchain,213123356,langchain-tests==0.3.19,langchain-tests==0.3.19,2025-04-17 14:41:14+00:00
langchain-ai/langchain,langchain-ai/langchain,213128931,langchain-openai==0.3.14,langchain-openai==0.3.14,2025-04-17 15:03:43+00:00
langchain-ai/langchain,langchain-ai/langchain,213182210,langchain-core==0.3.54,langchain-core==0.3.54,2025-04-17 19:27:03+00:00
langchain-ai/langchain,langchain-ai/langchain,213103456,langchain-core==0.3.53,langchain-core==0.3.53,2025-04-17 13:23:40+00:00
langchain-ai/langchain,langchain-ai/langchain,213127021,langchain-anthropic==0.3.12,langchain-anthropic==0.3.12,2025-04-17 14:56:36+00:00
langchain-ai/langchain,langchain-ai/langchain,212805495,langchain-ollama==0.3.2,langchain-ollama==0.3.2,2025-04-16 13:18:54+00:00
langchain-ai/langchain,langchain-ai/langchain,212572013,langchain-tests==0.3.18,langchain-tests==0.3.18,2025-04-15 17:14:56+00:00
langchain-ai/langchain,langchain-ai/langchain,212587579,langchain-perplexity==0.1.1,langchain-perplexity==0.1.1,2025-04-15 18:11:05+00:00
langchain-ai/langchain,langchain-ai/langchain,212587092,langchain-openai==0.3.13,langchain-openai==0.3.13,2025-04-15 18:08:35+00:00
langchain-ai/langchain,langchain-ai/langchain,212556363,langchain-core==0.3.52,langchain-core==0.3.52,2025-04-15 16:28:54+00:00
langchain-ai/langchain,langchain-ai/langchain,212591490,langchain-chroma==0.2.3,langchain-chroma==0.2.3,2025-04-15 18:19:13+00:00
langchain-ai/langchain,langchain-ai/langchain,212594518,langchain-anthropic==0.3.11,langchain-anthropic==0.3.11,2025-04-15 18:34:25+00:00
langchain-ai/langchain,langchain-ai/langchain,211853673,langchain-xai==0.2.3,langchain-xai==0.2.3,2025-04-11 14:10:56+00:00
langchain-ai/langchain,langchain-ai/langchain,210858565,langchain-ollama==0.3.1,langchain-ollama==0.3.1,2025-04-07 20:35:26+00:00
langchain-ai/langchain,langchain-ai/langchain,210381278,langchain==0.3.23,langchain==0.3.23,2025-04-04 14:12:32+00:00
langchain-ai/langchain,langchain-ai/langchain,210379405,langchain-text-splitters==0.3.8,langchain-text-splitters==0.3.8,2025-04-04 14:04:13+00:00
langchain-ai/langchain,langchain-ai/langchain,210377821,langchain-core==0.3.51,langchain-core==0.3.51,2025-04-04 13:57:13+00:00
langchain-ai/langchain,langchain-ai/langchain,210383079,langchain-community==0.3.21,langchain-community==0.3.21,2025-04-04 14:20:07+00:00
langchain-ai/langchain,langchain-ai/langchain,210157208,langchain-perplexity==0.1.0,langchain-perplexity==0.1.0,2025-04-03 16:25:39+00:00
langchain-ai/langchain,langchain-ai/langchain,209882360,langchain-openai==0.3.12,langchain-openai==0.3.12,2025-04-02 14:56:16+00:00
langchain-ai/langchain,langchain-ai/langchain,209933205,langchain-core==0.3.50,langchain-core==0.3.50,2025-04-02 19:00:32+00:00
langchain-ai/langchain,langchain-ai/langchain,209347023,langchain-groq==0.3.2,langchain-groq==0.3.2,2025-03-31 13:43:00+00:00
langchain-ai/langchain,langchain-ai/langchain,209330059,langchain==0.3.22,langchain==0.3.22,2025-03-31 12:38:40+00:00
langchain-ai/langchain,langchain-ai/langchain,208730063,langchain-mistralai==0.2.10,langchain-mistralai==0.2.10,2025-03-27 16:08:18+00:00
langchain-ai/langchain,langchain-ai/langchain,208748672,langchain-fireworks==0.2.9,langchain-fireworks==0.2.9,2025-03-27 17:13:48+00:00
langchain-ai/langchain,langchain-ai/langchain,208497593,langchain-tests==0.3.17,langchain-tests==0.3.17,2025-03-26 19:01:39+00:00
langchain-ai/langchain,langchain-ai/langchain,208508775,langchain-openai==0.3.11,langchain-openai==0.3.11,2025-03-26 19:59:46+00:00
langchain-ai/langchain,langchain-ai/langchain,208492689,langchain-core==0.3.49,langchain-core==0.3.49,2025-03-26 18:42:31+00:00
langchain-ai/langchain,langchain-ai/langchain,207940454,langchain-tests==0.3.16,langchain-tests==0.3.16,2025-03-24 19:03:14+00:00
langchain-ai/langchain,langchain-ai/langchain,207915617,langchain-openai==0.3.10,langchain-openai==0.3.10,2025-03-24 17:17:59+00:00
langchain-ai/langchain,langchain-ai/langchain,207866583,langchain-core==0.3.48,langchain-core==0.3.48,2025-03-24 14:20:58+00:00
langchain-ai/langchain,langchain-ai/langchain,207474837,langchain-ollama==0.3.0,langchain-ollama==0.3.0,2025-03-21 15:53:32+00:00
langchain-ai/langchain,langchain-ai/langchain,207493522,langchain-deepseek==0.1.3,langchain-deepseek==0.1.3,2025-03-21 17:12:22+00:00
langchain-ai/langchain,langchain-ai/langchain,207281643,langchain-xai==0.2.2,langchain-xai==0.2.2,2025-03-20 20:32:42+00:00
langchain-ai/langchain,langchain-ai/langchain,207273473,langchain-tests==0.3.15,langchain-tests==0.3.15,2025-03-20 19:54:13+00:00
langchain-ai/langchain,langchain-ai/langchain,207280661,langchain-mistralai==0.2.9,langchain-mistralai==0.2.9,2025-03-20 20:27:56+00:00
langchain-ai/langchain,langchain-ai/langchain,207281205,langchain-groq==0.3.1,langchain-groq==0.3.1,2025-03-20 20:30:26+00:00
langchain-ai/langchain,langchain-ai/langchain,207279719,langchain-fireworks==0.2.8,langchain-fireworks==0.2.8,2025-03-20 20:24:55+00:00
langchain-ai/langchain,langchain-ai/langchain,207267107,langchain-core==0.3.47,langchain-core==0.3.47,2025-03-20 19:22:15+00:00
langchain-ai/langchain,langchain-ai/langchain,206893641,langchain-groq==0.3.0,langchain-groq==0.3.0,2025-03-19 15:38:19+00:00
langchain-ai/langchain,langchain-ai/langchain,206968768,langchain-core==0.3.46,langchain-core==0.3.46,2025-03-19 19:29:59+00:00
langchain-ai/langchain,langchain-ai/langchain,206688001,langchain==0.3.21,langchain==0.3.21,2025-03-18 20:57:55+00:00
langchain-ai/langchain,langchain-ai/langchain,206662380,langchain-text-splitters==0.3.7,langchain-text-splitters==0.3.7,2025-03-18 19:16:08+00:00
langchain-ai/langchain,langchain-ai/langchain,206698420,langchain-community==0.3.20,langchain-community==0.3.20,2025-03-18 22:08:01+00:00
langchain-ai/langchain,langchain-ai/langchain,206298379,langchain-openai==0.3.9,langchain-openai==0.3.9,2025-03-17 16:20:24+00:00
langchain-ai/langchain,langchain-ai/langchain,205895446,langchain-anthropic==0.3.10,langchain-anthropic==0.3.10,2025-03-14 16:43:22+00:00
langchain-ai/langchain,langchain-ai/langchain,205718109,langchain-mistralai==0.2.8,langchain-mistralai==0.2.8,2025-03-13 23:14:33+00:00
langchain-ai/langchain,langchain-ai/langchain,205715822,langchain-core==0.3.45,langchain-core==0.3.45,2025-03-13 22:54:10+00:00
langchain-ai/langchain,langchain-ai/langchain,205285156,langchain-core==0.3.45-rc.1,langchain-core==0.3.45-rc.1,2025-03-12 13:04:36+00:00
langchain-ai/langchain,langchain-ai/langchain,205157052,langchain-core==0.3.44,langchain-core==0.3.44,2025-03-11 23:08:45+00:00
langchain-ai/langchain,langchain-ai/langchain,204447681,langchain-openai==0.3.8,langchain-openai==0.3.8,2025-03-07 18:34:03+00:00
langchain-ai/langchain,langchain-ai/langchain,204466465,langchain-groq==0.2.5,langchain-groq==0.2.5,2025-03-07 20:33:15+00:00
langchain-ai/langchain,langchain-ai/langchain,204480133,langchain-core==0.3.43,langchain-core==0.3.43,2025-03-07 21:58:59+00:00
langchain-ai/langchain,langchain-ai/langchain,204444932,langchain-core==0.3.42,langchain-core==0.3.42,2025-03-07 18:18:10+00:00
langchain-ai/langchain,langchain-ai/langchain,204445857,langchain-cli==0.0.36,langchain-cli==0.0.36,2025-03-07 18:23:36+00:00
langchain-ai/langchain,langchain-ai/langchain,203636622,langchain==0.3.20,langchain==0.3.20,2025-03-04 15:57:58+00:00
langchain-ai/langchain,langchain-ai/langchain,203636500,langchain-tests==0.3.13,langchain-tests==0.3.13,2025-03-04 15:57:27+00:00
langchain-ai/langchain,langchain-ai/langchain,203626269,langchain-core==0.3.41,langchain-core==0.3.41,2025-03-04 15:19:06+00:00
langchain-ai/langchain,langchain-ai/langchain,203640664,langchain-community==0.3.19,langchain-community==0.3.19,2025-03-04 16:16:03+00:00
langchain-ai/langchain,langchain-ai/langchain,203638033,langchain-anthropic==0.3.9,langchain-anthropic==0.3.9,2025-03-04 16:03:45+00:00
langchain-ai/langchain,langchain-ai/langchain,202427788,langchain-core==0.3.40,langchain-core==0.3.40,2025-02-25 23:14:54+00:00
langchain-ai/langchain,langchain-ai/langchain,202095270,langchain-openai==0.3.7,langchain-openai==0.3.7,2025-02-24 17:13:36+00:00
langchain-ai/langchain,langchain-ai/langchain,202089659,langchain-core==0.3.39,langchain-core==0.3.39,2025-02-24 16:50:48+00:00
langchain-ai/langchain,langchain-ai/langchain,202064315,langchain-core==0.3.38,langchain-core==0.3.38,2025-02-24 15:15:16+00:00
langchain-ai/langchain,langchain-ai/langchain,202133205,langchain-anthropic==0.3.8,langchain-anthropic==0.3.8,2025-02-24 20:32:36+00:00
langchain-ai/langchain,langchain-ai/langchain,201495307,langchain-mistralai==0.2.7,langchain-mistralai==0.2.7,2025-02-20 17:44:05+00:00
langchain-ai/langchain,langchain-ai/langchain,201277084,langchain-core==0.3.37,langchain-core==0.3.37,2025-02-19 20:07:52+00:00
langchain-ai/langchain,langchain-ai/langchain,201278824,langchain-community==0.3.18,langchain-community==0.3.18,2025-02-19 20:18:09+00:00
langchain-ai/langchain,langchain-ai/langchain,201011304,langchain-core==0.3.36,langchain-core==0.3.36,2025-02-18 19:57:12+00:00
langchain-ai/langchain,langchain-ai/langchain,200770233,langchain==0.3.19,langchain==0.3.19,2025-02-17 18:40:13+00:00
langchain-ai/langchain,langchain-ai/langchain,200777730,langchain-xai==0.2.1,langchain-xai==0.2.1,2025-02-17 19:35:30+00:00
langchain-ai/langchain,langchain-ai/langchain,200538034,langchain-openai==0.3.6,langchain-openai==0.3.6,2025-02-15 19:09:45+00:00
langchain-ai/langchain,langchain-ai/langchain,200286681,langchain-tests==0.3.12,langchain-tests==0.3.12,2025-02-14 00:21:46+00:00
